ledger_id,status_id,date,record_type,account,primary_theme,service_recognition,mentioned_handles,hashtags,status_url,accounting_status
recovered-044,727619816081784832,2016-05-03,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|StevenMatteo,CallNYC|PotHoles,https://x.com/CallNYCapp/status/727619816081784832,recovered
recovered-045,727689676115611650,2016-05-04,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MarkTreyger718|NYCCouncil,CallNYC|VotingInfo,https://x.com/CallNYCapp/status/727689676115611650,recovered
recovered-046,727878157076959232,2016-05-04,authored-post,CallNYCapp,civic-technology-context,false,CallNYCapp|NYCCouncil,CouncilStat|OpenData,https://x.com/CallNYCapp/status/727878157076959232,recovered
recovered-047,727880846271782913,2016-05-04,authored-post,CallNYCapp,civic-technology-context,false,CallNYCapp|cartoDB|CivicHall|mapzen|NYCCouncil,ConstituentServices|CouncilStat|OpenData,https://x.com/CallNYCapp/status/727880846271782913,recovered
recovered-048,727919445763575809,2016-05-04,authored-reply,CallNYCapp,direct-conversation,false,CallNYCapp|StevenMatteo,ConstituentServices|OpenData,https://x.com/CallNYCapp/status/727919445763575809,recovered
recovered-049,728001482692399104,2016-05-04,authored-post,CallNYCapp,service-recognition,true,bradlander|CallNYCapp|NYCCouncil,CallNYC|PedestrianSafety,https://x.com/CallNYCapp/status/728001482692399104,recovered
recovered-050,728259132705353728,2016-05-05,repost,CMPeterKoo,council-response-amplification,false,CMPeterKoo|JihaJacques|NYCFinance|SelfhelpNY,DRIE|SCRIE,https://x.com/CMPeterKoo/status/728259132705353728,recovered
recovered-051,728333768226947077,2016-05-05,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|HelenRosenthal|NYCCouncil,CallNYC|Eviction,https://x.com/CallNYCapp/status/728333768226947077,recovered
recovered-052,728666490250113026,2016-05-06,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RLEspinal,CallNYC|Section8,https://x.com/CallNYCapp/status/728666490250113026,recovered
recovered-053,728692814079463429,2016-05-06,authored-post,CallNYCapp,civic-technology-context,false,CallNYCapp|NYCCouncil,ConstituentService|Tech4all,https://x.com/CallNYCapp/status/728692814079463429,recovered
recovered-054,729670658406400001,2016-05-09,repost,darrenbloch,civic-and-public-context,false,darrenbloch|deBlasioNYC,NYCdigital,https://x.com/darrenbloch/status/729670658406400001,recovered
recovered-055,729673498608685058,2016-05-09,repost,CivicHall,civic-and-public-context,false,BilldeBlasio|CivicHall,nycdigital,https://x.com/CivicHall/status/729673498608685058,recovered
recovered-056,729676362634629120,2016-05-09,repost,NYCMayorsOffice,civic-and-public-context,false,BillDeBlasio|NYCMayorsOffice,NYCdigital,https://x.com/NYCMayorsOffice/status/729676362634629120,recovered
recovered-057,729713874715455488,2016-05-09,authored-post,CallNYCapp,civic-technology-context,false,BilldeBlasio|CallNYCapp,nycdigital,https://x.com/CallNYCapp/status/729713874715455488,recovered
recovered-058,729737077340946432,2016-05-09,authored-post,CallNYCapp,civic-technology-context,false,BilldeBlasio|CallNYCapp|galeabrewer|NYCCouncil,NYCDigital|OpenData,https://x.com/CallNYCapp/status/729737077340946432,recovered
recovered-059,729741165273165824,2016-05-09,authored-reply,CallNYCapp,direct-conversation,false,BilldeBlasio|CallNYCapp|ibookery,,https://x.com/CallNYCapp/status/729741165273165824,recovered
recovered-060,729757799647981570,2016-05-09,authored-post,CallNYCapp,resident-resource,false,CallNYCapp|NYCHRA,AntiEviction|FreeLegalServices,https://x.com/CallNYCapp/status/729757799647981570,recovered
recovered-061,729830383689281537,2016-05-10,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ChaimDeutsch|NYCCouncil,TreesAndSidewalksProgram,https://x.com/CallNYCapp/status/729830383689281537,recovered
recovered-062,729832019304194052,2016-05-10,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CMMathieuEugene|NYCCouncil,Immigration|Visas,https://x.com/CallNYCapp/status/729832019304194052,recovered
recovered-063,729835258808537088,2016-05-10,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CMMathieuEugene|NYCCouncil,Visas,https://x.com/CallNYCapp/status/729835258808537088,recovered
recovered-064,730739253358018561,2016-05-12,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|HelenRosenthal|NYCCouncil,NYCHABuildingMaintenance,https://x.com/CallNYCapp/status/730739253358018561,recovered
recovered-065,730838778772893696,2016-05-12,authored-post,CallNYCapp,resident-facing-product-interface,false,CallNYCapp|JimmyVanBramer|MMViverito|NYCCouncil|twitter,CallNYC,https://x.com/CallNYCapp/status/730838778772893696,recovered
recovered-066,730842213429710850,2016-05-12,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JimmyVanBramer|NYCCouncil,TrafficEnforcement,https://x.com/CallNYCapp/status/730842213429710850,recovered
recovered-067,730856560071741440,2016-05-12,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|NYCGreenfield,CallNYC|DirtySidewalks,https://x.com/CallNYCapp/status/730856560071741440,recovered
recovered-068,730862177037488128,2016-05-12,repost,StephCW_,civic-and-public-context,false,StephCW_,dataisbeautiful,https://x.com/StephCW_/status/730862177037488128,recovered
recovered-069,731168037433450496,2016-05-13,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RLEspinal,CallNYC|Medicaid,https://x.com/CallNYCapp/status/731168037433450496,recovered
recovered-070,731212042863005697,2016-05-13,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CM_MargaretChin|NYCCouncil,Heat|HotWater,https://x.com/CallNYCapp/status/731212042863005697,recovered
recovered-071,731254021000986624,2016-05-13,authored-post,CallNYCapp,service-recognition,true,BenKallos|CallNYCapp|NYCCouncil,Buses|CallNYC,https://x.com/CallNYCapp/status/731254021000986624,recovered
recovered-072,731873940923109376,2016-05-15,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CM_RubenWills|NYCCouncil,BuildingsViolation|CallNYC,https://x.com/CallNYCapp/status/731873940923109376,recovered
recovered-073,732370968946065408,2016-05-17,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ChaimDeutsch|NYCCouncil,CallNYC|ConEdison,https://x.com/CallNYCapp/status/732370968946065408,recovered
recovered-074,732660179540578306,2016-05-17,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|StevenMatteo,CallNYC|TrafficSignal,https://x.com/CallNYCapp/status/732660179540578306,recovered
