population_slot,disposition,status_url,published_at,source_author_handle,relationship,recovered_from,posted_urls,mentions,hashtags,mission_signals,mission_signal_evidence,classification_input_digest,access_time_replies,access_time_reposts,access_time_likes,access_time_bookmarks,access_time_views,note
RECOVERED-2960,recovered-public-interface,https://x.com/LegalAidNYC/status/1932459675288518944,2025-06-10T15:27:44.000Z,@LegalAidNYC,native-repost-source-status,posts-slow-crosscheck | with-replies,,@LegalAidNYC,,,,a7e9aab7fa308fb05d76874bca41c2d5d326a7d7b715de4d0936bdbd33ee6f34,2,11,11,2,1748,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2961,recovered-public-interface,https://x.com/MoRUSNYC/status/1932847679672914330,2025-06-11T17:09:32.000Z,@MoRUSNYC,native-repost-source-status,posts-slow-crosscheck | with-replies,,@MoRUSNYC,#bike | #NYC | #repair,,,9f2dc21cff12ad4f5a2e0b8440b6b34fe26571c95816713a19f6f4a7b23f74f4,0,2,1,0,141,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2962,recovered-public-interface,https://x.com/taliaotg/status/1932919837745139943,2025-06-11T21:56:15.000Z,@taliaotg,native-repost-source-status,posts-slow-crosscheck | with-replies,,@taliaotg,,,,d75166e5aeba02cb54781342cf2fb45a40cc30b48a54562be200273dc0b73a42,1,36,425,34,51503,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2963,recovered-public-interface,https://x.com/aaronAcarr/status/1933004394716364981,2025-06-12T03:32:15.000Z,@aaronAcarr,native-repost-source-status,posts-slow-crosscheck | with-replies,,@aaronAcarr,,,,7310c951cd66dfdbe6b73fd164a404a0d273fbce7425985b6670a7a9a13b00f2,3,88,2105,31,35875,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2964,recovered-public-interface,https://x.com/BOENYC/status/1936756060817080364,2025-06-22T12:00:02.000Z,@BOENYC,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/lZ5219tOFh -> https://amiregistered.vote.nyc || https://t.co/TBg2bhid2y -> https://findmypollsite.vote.nyc,@BOENYC,,,,c7a3c2c11bc1a518845eb65971a4c7c9e0474b84768cf0af34e68d3148bfa70a,2,38,81,3,15643,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2965,recovered-public-interface,https://x.com/BOENYC/status/1937669479757979952,2025-06-25T00:29:38.000Z,@BOENYC,native-repost-source-status,posts-slow-crosscheck | with-replies,,@BOENYC,,,,3b79408ed19d89893f9be430b45b1fbdb9adf032a7ed2d0fc9382c4380972ac5,11,119,532,5,69112,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2966,recovered-public-interface,https://x.com/olympiakazi/status/1957309055778619877,2025-08-18T05:10:18.000Z,@olympiakazi,native-repost-source-status,posts-slow-crosscheck | with-replies,,@olympiakazi,,,,cd091d67feff6d73d23672ffd240054553dd86e52896e8e417e453d87f7c375a,1,6,25,2,1684,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2967,recovered-public-interface,https://x.com/NYCArtC/status/1959523347596808245,2025-08-24T07:49:06.000Z,@NYCArtC,coalition-account-original,posts-slow-crosscheck | with-replies,https://t.co/CAdJlAW4To,@NYCArtC,,,,ae0f80d7b9516415ba499d26d49793295ccd93fbf7a779c106c20dc38362ea30,0,2,1,0,931,Shared-account human authorship is not assigned.
RECOVERED-2968,recovered-public-interface,https://x.com/future_of_music/status/1964012937841942655,2025-09-05T17:09:08.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/rMyPbm7sGS,@future_of_music,#breakupticketmaster,,,c2f4fabe725c89ab254f363c6e9cb0fa8959ad0f436a37cba3f37f53ef6fc758,1,3,8,0,494,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2969,recovered-public-interface,https://x.com/future_of_music/status/1964697486507061609,2025-09-07T14:29:17.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck | with-replies,,@future_of_music,,,,ec4b00c16fbbdbcbe1820d6528f42a45437111b7b722acb7129f35e01f2f7f6f,0,5,9,2,1302,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2970,recovered-public-interface,https://x.com/future_of_music/status/1965565613952438410,2025-09-09T23:58:55.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck | with-replies,,@future_of_music,,,,1259369b4c82a23f35705626ff26a40cf0616af67af31ba0475e18ce6b6ce682,3,20,79,5,6372,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2971,recovered-public-interface,https://x.com/future_of_music/status/1965569448720695458,2025-09-10T00:14:09.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck | with-replies,,@future_of_music,,,,309f18470f065e4f4906bc868a3f25c986472f8edd91d4858020381932933f3a,1,2,4,0,413,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2972,recovered-public-interface,https://x.com/future_of_music/status/1971370321455559057,2025-09-26T00:24:45.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck | with-replies,,@future_of_music,,,,48d0d21f1cbc31a57d046bf2ebcfb72e9f95b17970009d9df7a414e062eb94b4,0,1,13,1,1038,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2973,recovered-public-interface,https://x.com/MorePerfectUS/status/1972705893637628000,2025-09-29T16:51:50.000Z,@MorePerfectUS,native-repost-source-status,posts-slow-crosscheck | with-replies,,@MorePerfectUS,,,,88d7206bd1c0cbb7a68447922ef2a899e5dbbbd37dcbb033488fe54c6ca8c730,25,708,2633,145,235191,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2974,recovered-public-interface,https://x.com/future_of_music/status/1973401610039521294,2025-10-01T14:56:22.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck | with-replies,,@future_of_music,,,,5dd00a371240220af111e468ea6bfd733df344590b05b7bcbd41e2299ae9a3bf,1,9,17,3,1426,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2975,recovered-public-interface,https://x.com/future_of_music/status/1973529755262874014,2025-10-01T23:25:34.000Z,@future_of_music,native-repost-source-status,posts-slow-crosscheck,,@future_of_music,,,,f9b8c32f2cb2d7b8590458088098a00831aeafa6cdbb724e9b8cc22e6d8a719e,0,4,4,0,933,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2976,recovered-public-interface,https://x.com/HellGateNY/status/1974165463149301764,2025-10-03T17:31:39.000Z,@HellGateNY,native-repost-source-status,posts-slow-crosscheck | with-replies,"https://t.co/FwwtQTueHM -> Nightclub Raids Are on the Rise in 2025, Report Says",@HellGateNY,,,,3f12c7af8e485f5ee61d0983ff01cc1e8f3fdf99e81e1627a5bd8448466c3af8,0,2,2,0,1231,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2977,recovered-public-interface,https://x.com/NYCArtC/status/1974171303675637872,2025-10-03T17:54:51.000Z,@NYCArtC,coalition-account-original,posts-slow-crosscheck | search-authored-2025-01-01-2026-01-01 | with-replies,,@NYCArtC | @nycnightlifegov | @olympiakazi | @adlankj,#TalksNotRaids,talks-not-raids,talks-not-raids:source-post-body:#TalksNotRaids,a498626c8f97bed6cf3b70ee8445736b38dcec68552992723403d283e7e864c0,0,2,2,0,328,Shared-account human authorship is not assigned.
RECOVERED-2978,recovered-public-interface,https://x.com/EmilyAssembly/status/1985542598870605901,2025-11-04T03:00:19.000Z,@EmilyAssembly,native-repost-source-status,posts-slow-crosscheck | with-replies,,@EmilyAssembly,,fair-rent-nyc,fair-rent-nyc:source-post-body:commercial rent stabilization,300574c470e32e73e0dc174a79ecd82ef8463f8056b7e0a6d625ea22c96aa06f,1,3,15,0,4336,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2979,recovered-public-interface,https://x.com/michalovejohan/status/1987183111231205734,2025-11-08T15:39:08.000Z,@michalovejohan,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/02gJDRBfpK -> https://dora.nyc,@michalovejohan,,,,a2d60bca2be5a3dacfbf8a9f5cb1a983ad456404318a038f0366d28a95597cbe,12,487,1050,501,277684,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2980,recovered-public-interface,https://x.com/NYCulture/status/1988245426676342981,2025-11-11T14:00:24.000Z,@NYCulture,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/OspeJo1Hnk -> https://art-newyork.org/nyc-small-theatres-fund%E2%80%A6,@NYCulture | @artny72,,,,3a9cbf9c34f24d31bb090687da415d4b0f481c200550c29d3f39c6623765a4fd,0,2,1,0,130,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2981,recovered-public-interface,https://x.com/nyfacurrent/status/1988381290899349547,2025-11-11T23:00:16.000Z,@nyfacurrent,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/PrA6KfNEid -> https://ow.ly/tG2b50Xgyw8,@nyfacurrent | @nyculture,,,,113ad6c2458286f5c17590d6e9b497485db0ba4a819f1dd43ba5524e0a4471d4,0,5,3,0,429,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2982,recovered-public-interface,https://x.com/nyfacurrent/status/1989347707849158978,2025-11-14T15:00:28.000Z,@nyfacurrent,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/mnwcGq45Qo -> https://ow.ly/2KSP50Xgx5o,@nyfacurrent | @nyculture,,,,b61a00de6cde3c35d46e9e80bd811417db30b04e5f29643ca5c9903310d09138,0,1,2,0,149,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2983,recovered-public-interface,https://x.com/NYCArtC/status/1989710654941331650,2025-11-15T15:02:41.000Z,@NYCArtC,coalition-account-original,posts-slow-crosscheck | with-replies,https://t.co/mPJ0b8L15z,@NYCArtC,,,,12f8e15ae8f3a24b63e6e71691f27d6aebd6d084d3d1ebfb03f39b0590db8751,0,0,0,1,67,Shared-account human authorship is not assigned.
RECOVERED-2984,recovered-public-interface,https://x.com/NYCArtC/status/1989726832984207579,2025-11-15T16:06:58.000Z,@NYCArtC,coalition-account-original,posts-slow-crosscheck | search-authored-2025-01-01-2026-01-01 | with-replies,,@NYCArtC | @EmilyAssembly | @JuliaCarmel__ | @CatMDanceNYoga | @olympiakazi | @ArtistStudioAP | @CooperSq | @VendorPower | @ChhayaCDC | @YAMAMerchants | @indietheaternyc | @nycworker,#FairRentNYC | #StopClosingNY,fair-rent-nyc,fair-rent-nyc:source-post-body:Commercial Rent Stabilization,e23ae8848849d83000bcb5507393ba8a7422af88d933250a7b3d79f3e20698de,1,4,8,0,3551,Shared-account human authorship is not assigned.
RECOVERED-2985,recovered-public-interface,https://x.com/CitizensUnionNY/status/1991563895958565035,2025-11-20T17:46:48.000Z,@CitizensUnionNY,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/wHWHDvwmoh -> https://citizensunion.org/document/memo-in-support-of-legislation-providing-the-ccrb-with-officer-body-worn-camera-footage/%E2%80%A6,@CitizensUnionNY,,,,142b77ce9b8fd7ccd09e2b4f6fb85085e3fd79808be05f82db858066feae7eb1,0,1,1,0,129,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2986,recovered-public-interface,https://x.com/cdi_dance/status/1993707227706978814,2025-11-26T15:43:39.000Z,@cdi_dance,native-repost-source-status,posts-slow-crosscheck | with-replies,https://t.co/xWh9qwdmvX -> https://bit.ly/4b0Q8yJ,@cdi_dance | @LaundromatProj,,,,af3861bde3f69db1f7b119df646cd6abaab309fad84adae4ede60ff168ad9ee0,0,3,3,0,42,"The source-post date and engagement belong to the external source status; appearance here documents coalition-account curation, not reciprocal engagement."
RECOVERED-2987,recovered-public-interface,https://x.com/NYCArtC/status/1993707487032152258,2025-11-26T15:44:40.000Z,@NYCArtC,coalition-account-original,posts-slow-crosscheck | with-replies,https://t.co/DVafDKEB4i -> Events | Freelancers Union,@NYCArtC | @freelancersu,,,,965ce6f07b9b24de4bdda223bf6a7f5ac4def3fc0818dd5199151c0ad0af05fe,1,4,3,0,324,Shared-account human authorship is not assigned.
